id,vendor_id,title,price,inventory,net_weight,packaged_weight,preparation_day,description,category_id,category_title,category_parent_title,category_root_title,photo_url,url,created_at,updated_at,unit_quantity,unit_type,sales_count,view_count,can_add_to_cart,has_variation,rating,rating_count,stats_updated_at
4552047,433888,زیتون پرورده 6 کیلویی بهشته  با مغزگردو فروش عمده,9800000,0,6000,10000,3,"زیتون پرده بسیار خوش طعم 
با مغز گردو  در یک حلب 6 کیلویی
برند بهشته 
این شرکت تولیدی جهت حفط رضایت مشتری محصولات خود رو از بهترین مواد اولیه تهیه نموده و در بسته بندی های متنوع ارائه میکند.
دارای تمامی مجوزها و استانداردهای لازم ",150,زیتون,ترشی و شور,مواد غذایی,https://statics.basalam.com/public-4/users/qXG5zE/09-03/Bjj1p7kQAf56XHSiUuZr5EwQjUC7KtFx4PqmVYTxo4Hg4lTqtR.jpg,https://basalam.com/khanbaar/product/4552047,2022-09-03T08:57:46+04:30,2024-09-22T13:22:10+03:30,6000.0,گرم,59,5989,1,0,4.3,32,2024-12-19T16:44:25.960569
4554152,433888,هل اکبر بنفش نیم کیلویی  تاریخ جدید کارتن 10 عددی,34290000,0,5000,6500,5,"کمپانی اکبر هندوستان یکی از معروف ترین کمپانی ها در زمینه تولید و فروش هل است. هل اکبر مرغوب ترین نوع هل سبز است که می توانید در بازار پیدا کنید چرا که قطر دانه های هل بیشتر از قطر دانه های هل معمولی است.
هل اکبر به رنگ های گوناگون مانند بنفش، نارنجی، صورتی، قرمز و سبز دسته بندی می شود. هدف از دسته بندی این محصول توصیف قطر دانه های هل است. جالب است بدانید که انجمن ادویه جات هند این دسته بندی را تایید کرده است.
هل اکبر بنفش شامل درشت ترین و باکیفیت ترین انواع هل اکبر است و غلاف هایی سرشار از دانه دارد که قطر آنها معمولا بیشتر از 8 میلی متر است.
هل اکبر به علت عطر و طعم بی نظیر و مرغوبیت منحصر به فرد در آشپزی و شیرینی پزی مورد استفاده قرار می گیرد و به جرات می توان گفت در اغلب غذاهای ایرانی و بین المللی که در کشور ما پخت می شود نقش دارد. بدیهی است که خواص هل در دانه های بزرگ تر بهتر بروز پیدا می کند.  

  شامل درشت ترین و باکیفیت ترین انواع هل است. هل اکبر بنفش غلاف هایی سرشار از دانه دارد که قطر آنها معمولا بیشتر از 8 میلی متر است.
بسته بندی یک کیلویی ، 100 گرمی و نیم کیلویی  این هل  در غرفه خانبار موجود میباشد .
همچنین خرید  10 کیلو وبالاتر  شامل تخفیف خواهد بود.",133,ادویه,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public/users/qXG5zE/06-06/41Bp2Ce0yP8ZH6AznS48ScYyTSayd9QL2RtMC2FfJS4cT18MHv.jpg,https://basalam.com/khanbaar/product/4554152,2022-09-03T15:48:28+04:30,2023-05-06T08:43:22+03:30,5000.0,,1,728,1,0,0.0,0,2024-12-19T16:44:27.682322
4554395,433888,آبغوره درجه 1 امسالی فروش عمده عمده هر کیلو 22 گالنی,23250000,2,100000,101000,3,"از آنجاییکه محصول ب درخواست و سفارش مشتری آبگیری شده قابل مرجوعی نمی باشد 
.
به ازای هر گالن مبلغ ۲۵ هزارتومن به مبلغ اصلی اضافه شده است",131,آبغوره,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public-4/users/qXG5zE/09-03/kWVS5gwxWwRH1j3uGWCZ70yOECQVvOYF5ufIbbbjplnJiEA2rL.jpg,https://basalam.com/khanbaar/product/4554395,2022-09-03T16:25:46+04:30,2022-09-08T15:33:49+04:30,100000.0,,3,82,1,0,1.0,1,2024-12-19T16:44:29.399621
4560313,433888,کاپوچینو ترابیکا اصلی کارتن 12 بسته هر بسته 20 عدد فروش عمده ,13300000,0,6000,7000,5,"ترابیکا یک کارتن شامل 12 پاکت 
صددرصد اورجینال  (محصول کشور اندونزی)
ضمانت اصالت و کیفیت 
امکان مرجوعی در صورت نارضایتی
تولید 2022 
انقضا تا سال 2024",198,محصولات کافئین دار,نوشیدنی,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-04/JZFC3e9X4LFwAaVNeAAwTu2sW4knyqvDdNzbgu0FMarSNBVOgU.jpg,https://basalam.com/khanbaar/product/4560313,2022-09-04T12:33:38+04:30,2023-02-28T10:11:20+03:30,6000.0,,2,591,1,0,0.0,0,2024-12-19T16:44:31.139371
4560384,433888,کاپوچینو ترابیکا (تورابیکا)اصلی  بسته 20 عدد به قیمت  فروش عمده,1390000,0,500,550,5,"یک پاکت تورابیکا 20 عددی 
تاریخ جدید 
صددرصد اورجینال 
ضمانت کیفیت و اصالت 
تولید 2022
انقضا 2024",198,محصولات کافئین دار,نوشیدنی,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-04/oF2fLKb9y2f3UGYXpcDKH04QX0OWu3LNbZ4DV7OEJn0I8G7qXd.jpg,https://basalam.com/khanbaar/product/4560384,2022-09-04T12:40:02+04:30,2023-02-28T10:11:23+03:30,500.0,,11,996,1,0,5.0,6,2024-12-19T16:44:32.927385
4560634,433888,کاپوچینو گوددی  اصلی کارتن 6 بسته  هر بسته 30 عدد فروش عمده ,13200000,0,4500,5000,5," یک کارتن شامل 6  بسته 
صددرصد اورجینال 
ضمانت اصالت و کیفیت 
امکان مرجوعی در صورت نارضایتی 
تولید 2022
انقضا 2024",198,محصولات کافئین دار,نوشیدنی,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-04/FBHv55LirLVBHX9KXFrvIidCSRLSfhSTtbvtKysJjCLpii07qG.jpg,https://basalam.com/khanbaar/product/4560634,2022-09-04T13:03:52+04:30,2023-02-13T10:22:57+03:30,4500.0,,1,1453,1,0,5.0,1,2024-12-19T16:44:34.664430
4562326,433888,خمیرمایه فوری 1 کیلویی درجه یک و با کیفیت ,1790000,14,1000,1500,4,"خمیر مایه یک کیلویی
تاریخ دار
""درجه یک و باکیفیت
کیفیت تمام محصولات غرفه خانبار  تضمین میشود""",315,ابزار قنادی,لوازم آشپزخانه,خانه و آشپزخانه,https://statics.basalam.com/public-6/users/qXG5zE/07-04/1PrNuf44Lx1AqaKl3dcfCTS9Z68eS5qneHvXENztrCbSDIoVG5.jpg,https://basalam.com/khanbaar/product/4562326,2022-09-04T16:31:19+04:30,2024-12-16T16:18:55+03:30,1000.0,گرم,87,2902,1,0,4.7,40,2024-12-19T16:44:36.367096
4562475,433888,چوب دارچین برند گل سرخی یک کیلویی معطر و درجه یک,2360000,28,1000,1500,3,......................,133,ادویه,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/06-09/hnLXz8U8jDaf4C4ZtSJrGZ5KtKNyCcDLtUlQdFfx11zbd3JcdH.jpg,https://basalam.com/khanbaar/product/4562475,2022-09-04T16:50:09+04:30,2024-12-16T15:52:25+03:30,1000.0,گرم,278,5672,1,0,4.6,156,2024-12-19T16:44:38.018518
4562495,433888,دانه فلفل سیاه 6 میل یک کیلویی,6560000,20,1000,1500,4,"فلفل سیاه برند توبک طلایی 
سایز 6 میل 
کیفیت فوق ممتاز",133,ادویه,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/06-09/nZjl43G3GhkTdElTTX3IBkmRYFr5vtfk1Eo4B5R1LMphzplacU.jpg,https://basalam.com/khanbaar/product/4562495,2022-09-04T16:52:35+04:30,2024-12-16T15:46:03+03:30,1000.0,گرم,112,2547,1,0,4.8,60,2024-12-19T16:44:39.701143
4576525,433888,نبات شاخه زعفرانی مخصوص عمده 8 کیلویی (ارسال با اتوبوس ),6000000,0,7700,11000,3,"با توجه به اینکه در زمان ارسال با پست نبات ها ممکنه شکسته بشن فقط با باربری ارسال خواهند شد که سالم بدست شما عزیزان برسند و  تحویل درب منزل نیست.
کرایه حمل تا شهر مقصد توسط فروشنده انجام میشود و سایر هزینه ها از جمله انبارداری بر عهده خریدار خواهد بود.
پس از ارسال بیجک باربری برای شما ارسال خواهد شد و مازاد هزینه ارسال و بسته بندی مرجوع میشود.
(ارسال از اصفهان)",157,قند و شکر,خوار و بار,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-06/0KtvvmxSdfTGlnshfEtGb5MtjfsY3Z1rkidaZPI3RS2bObnkwE.jpg,https://basalam.com/khanbaar/product/4576525,2022-09-06T10:23:06+04:30,2024-10-06T09:16:36+03:30,,,7,1925,1,0,4.0,5,2024-12-19T16:44:41.389192
